	Besucherzahlen
Himmelsscheibe (2006/07)	 80000 
Odilon Redon (2014) 	 81000 
Holbein (2005)	 90000 
Kandinsky (2006/07)	 90000 
Warhol (2010/2011)	 102000 
Bonnard (2012)	 107000 
Basquiat (2010)	 109000 
Max Ernst (2013)	 109000 
Tiefsee (2007/2008)	 110000 
Koons (2012)	 110000 
Renoir (2012)	 112000 
Rousseau (2010)	 115000 
Gustave Courbet (2014/15)	 115000 
Die Picassos sind da! (2013)	 121000 
Degas (2012/2013)	 143000 
Ferdinand Hodler (2013)	 147000 
Surrealismus in Paris (2011/2012) 	 159000 
Gerhard Richter (2014)	 171000 
Segantini (2011)	 173000 
Rothko (2001)	 200000 
Munch (2007)	 200000 
Monet (2002)	 201000 
Picasso/Braque (1990)	 214000 
Wien 1900 - Klimt, Schiele und ihre Zeit (2010/11)	 223000 
Monet (1986)	 245000 
Van Gogh (2009)	 552000 
Tutanchamun (2004)	 620000 
